subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uepP023,3,1,1,RR,-20.0,-21.0,2,4.3967235677115,1,6.283370874440252,16,29.680094442151752,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,2,RR,-20.0,-4.0,2,1.8768140620802214,1,6.180515762765545,29.680094442151752,40.737424266997515,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,3,RR,-14.0,-6.0,2,3.37071355106528,1,4.67738838832709,40.737424266997515,51.78552620638988,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,4,RR,-13.0,-14.0,2,4.561953145609482,1,4.117087079221212,51.78552620638988,63.464566431220575,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,5,RR,-11.0,-12.0,2,3.2520153802285137,1,4.251514048240434,63.464566431220575,73.96809585968953,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,6,RR,-19.0,-6.0,2,3.2010775036577397,1,3.834265279471886,73.96809585968953,84.00343864281916,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,7,RR,-11.0,-8.0,2,2.1781734412171057,1,4.871329286914673,84.00343864281916,94.05294137095095,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,8,RR,-16.0,-15.0,2,1.6661662563187256,1,5.920619499026438,94.05294137095095,104.63972712629612,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,9,RR,-14.0,-7.0,2,2.8688632356060193,1,4.221594146039302,104.63972712629612,114.73018450794144,1,4,-15.0,-12.0,4.0,4.0
uepP023,3,1,10,RR,-25.0,-9.0,2,2.619202504050633,1,3.5312812500753963,114.73018450794144,123.88066826206747,1,4,-15.0,-12.0,4.0,4.0
