subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uepP050,5,2,1,RR,-11.0,9.0,2,3.5970817504325123,1,3.875140702081903,128.66239797259365,139.13462042510807,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,2,RR,-12.0,9.0,2,4.494371926851457,1,5.428687208746451,139.13462042510807,152.057679560706,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,3,RR,-20.0,8.0,2,2.8093007165571033,1,6.2569993500399095,152.057679560706,164.123979627303,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,4,RR,-14.0,11.0,2,2.478564774552002,1,5.160195641721723,164.123979627303,174.7627400435767,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,5,RR,-13.0,8.0,2,2.044381940501784,1,3.3580197554467537,174.7627400435767,183.16514173952524,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,6,RR,-23.0,9.0,2,4.486510991622377,1,4.470977253937973,183.16514173952524,195.12262998508558,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,7,RR,-16.0,7.0,2,3.13052638114397,1,4.346732661454775,195.12262998508558,205.59988902768433,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,8,RR,-15.0,10.0,2,2.6160722947029327,1,3.3367689150749538,205.59988902768433,214.5527302374622,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,9,RR,-17.0,11.0,2,4.628057503610114,1,4.745352706445501,214.5527302374622,226.9261404475178,3,2,-17.0,8.0,4.0,4.0
uepP050,5,2,10,RR,-20.0,12.0,2,2.6191108818689863,1,5.636274060325527,226.9261404475178,238.1815253897123,3,2,-17.0,8.0,4.0,4.0
