subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uep025,3,4,1,RR,-6.0,1.0,2,2.3607985791968273,1,5.393435758399146,364.41096327237324,375.16519760996925,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,2,RR,-5.0,9.0,2,1.8453376246399074,1,6.811928855165935,375.16519760996925,386.8224640897751,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,3,RR,-3.0,2.0,2,1.382400195175113,1,6.175097406167123,386.8224640897751,397.3799616911174,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,4,RR,-3.0,-4.0,2,1.4014124555868057,1,6.55219501701762,397.3799616911174,408.3335691637218,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,5,RR,-4.0,6.0,2,2.8660427571606544,1,5.168700242270958,408.3335691637218,419.3683121631534,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,6,RR,5.0,1.0,2,1.9095281698709274,1,5.2326899898446655,419.3683121631534,429.51053032286904,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,7,RR,-4.0,8.0,2,2.2216253442887433,1,7.0167003212465024,429.51053032286904,441.7488559884043,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,8,RR,-1.0,5.0,2,1.6434867493160328,1,5.460808133841795,441.7488559884043,451.8531508715621,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,9,RR,-2.0,2.0,2,1.7204139571620867,1,5.558662002707729,451.8531508715621,462.13222683143186,0,2,-4.0,1.0,4.0,4.0
uep025,3,4,10,RR,-10.0,2.0,2,2.7241604866830187,1,6.143612681885312,462.13222683143186,474.0000000000002,0,2,-4.0,1.0,4.0,4.0
