subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uep046,5,3,1,RS,7.0,9.0,2,1.9697016534650016,1,6.896099727825377,248.66073534137405,260.52653672266445,4,1,4.0,9.0,4.0,0
uep046,5,3,2,RS,7.0,9.0,2,2.0864998982449885,1,5.764707657821194,260.52653672266445,271.37774427873063,4,1,4.0,9.0,4.0,0
uep046,5,3,3,RS,14.0,9.0,2,2.160788204139553,1,5.56580292972369,271.37774427873063,282.1043354125939,4,1,4.0,9.0,4.0,0
uep046,5,3,4,RS,5.0,9.0,2,2.181007046795435,1,5.797789677243131,282.1043354125939,293.0831321366325,4,1,4.0,9.0,4.0,0
uep046,5,3,5,RS,1.0,9.0,2,1.2951047354243024,1,6.672519036662184,293.0831321366325,304.050755908719,4,1,4.0,9.0,4.0,0
uep046,5,3,6,RS,6.0,9.0,2,2.130296808444425,1,4.9930356744743065,304.050755908719,314.1740883916377,4,1,4.0,9.0,4.0,0
uep046,5,3,7,RS,3.0,9.0,2,2.955478214300798,1,6.324829804226666,314.1740883916377,326.4543964101652,4,1,4.0,9.0,4.0,0
uep046,5,3,8,RS,3.0,9.0,2,2.727551073797648,1,5.096764688888925,326.4543964101652,337.2787121728518,4,1,4.0,9.0,4.0,0
uep046,5,3,9,RS,7.0,9.0,2,2.035236152644589,1,6.196689655850155,337.2787121728518,348.5106379813465,4,1,4.0,9.0,4.0,0
uep046,5,3,10,RS,2.0,9.0,2,1.1005919683123737,1,5.116473677725705,348.5106379813465,357.7277036273846,4,1,4.0,9.0,4.0,0
