subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uep052,5,1,1,RR,-11.0,-20.0,2,2.056324942697656,1,6.726182234841925,16,27.782507177539582,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,2,RR,-6.0,-25.0,2,2.2972923765406197,1,6.96441141917309,27.782507177539582,40.04421097325329,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,3,RR,-7.0,-28.0,2,1.7541349315916903,1,5.284173502816748,40.04421097325329,50.082519407661735,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,4,RR,-2.0,-32.0,2,2.4646997651193816,1,6.54543643818232,50.082519407661735,62.09265561096344,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,5,RR,-13.0,-21.0,2,2.181805158335573,1,5.702148747600393,62.09265561096344,72.97660951689942,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,6,RR,-11.0,-25.0,2,1.1231522701852443,1,6.348557106326574,72.97660951689942,83.44831889341123,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,7,RR,-11.0,-32.0,2,2.123816050497057,1,5.484550694118216,83.44831889341123,94.0566856380265,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,8,RR,-13.0,-24.0,2,1.5149555330890194,1,6.973749088647281,94.0566856380265,105.5453902597628,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,9,RR,-12.0,-25.0,2,1.8922035416260736,1,5.1422395482006635,105.5453902597628,115.57983334958953,5,6,-11.0,-23.0,4.0,4.0
uep052,5,1,10,RR,-10.0,-25.0,2,2.4712592540931406,1,5.4401646527698055,115.57983334958953,126.49125725645249,5,6,-11.0,-23.0,4.0,4.0
