subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uep035,5,2,1,RR,-14.0,-16.0,2,2.977626001310993,1,6.206913321361226,125.73899747429662,137.92353679696882,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,2,RR,-13.0,-14.0,2,1.7275285404002076,1,6.4085120342514434,137.92353679696882,149.05957737162046,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,3,RR,-20.0,-22.0,2,2.85069858844218,1,6.224081078962702,149.05957737162046,161.13435703902536,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,4,RR,-16.0,-20.0,2,2.276036988383148,1,5.894294810811114,161.13435703902536,172.30468883821962,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,5,RR,-19.0,-22.0,2,2.1665687294958054,1,6.000837389429393,172.30468883821962,183.4720949571448,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,6,RR,-12.0,-24.0,2,2.707907022782337,1,5.270041789644546,183.4720949571448,194.4500437695717,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,7,RR,-16.0,-14.0,2,1.0981553778015527,1,6.9775345049959405,194.4500437695717,205.52573365236918,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,8,RR,-23.0,-15.0,2,2.645108496149436,1,5.395085969296594,205.52573365236918,216.56592811781522,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,9,RR,-22.0,-13.0,2,1.1013834647955076,1,5.109662153673851,216.56592811781522,225.77697373628456,6,1,-18.0,-14.0,4.0,4.0
uep035,5,2,10,RR,-13.0,-10.0,2,1.2948695997153539,1,5.705379579983586,225.77697373628456,235.77722291598351,6,1,-18.0,-14.0,4.0,4.0
